Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Group Stage,Mixed,Group C (set 5-7),2,Single game,Wonka washed,Grober Heinz,Wonka washed,17,15,,,,,Emil Grönebaum,Lou Washburn,,Julia Grob,Yvo Heinen,Julia Grob
Group Stage,Mixed,Group C (set 5-7),2,Single game,P🍄WER UP!,Creed Energy,P🍄WER UP!,15,13,,,,,Britt Vankemenade,joeri vlassaks,,Alina Pîrlea,Ciprian Bizdideanu,
Group Stage,Mixed,Group D ( set 8-10),2,Single game,Pinkey Jinkey,Hasty and Dirty Roundnet,Hasty and Dirty Roundnet,12,15,,,,,Alina Teskey,David Jindra,,Costanza Patat,Lukas Lemberger,
Group Stage,Mixed,Group D ( set 8-10),2,Single game,Grantschmann and Kornetto,Trash TV,Grantschmann and Kornetto,15,10,,,,,Stefan Handschmann,Ines Kornek,,Vivien Less,Tim Bichler,
Group Stage,Mixed,Group D ( set 8-10),2,Single game,BlockWiener,Key of happiness,BlockWiener,15,11,,,,,Pol Loutsch,Angelika Bauer,,Felicia Höchtl,Tobias Alraun,
Group Stage,Mixed,Group A (set 1-2),3,Single game,It's a 30,Let‘s Gogo,It's a 30,15,7,,,,,Daniela Kadlec,Yosha Vandaele,,Gabriel Stoisser,Constanze Lehner,
Group Stage,Mixed,Group A (set 1-2),3,Single game,Double T,Spike’s parents,Double T,18,16,,,,,Frederik Theunis,Marie-Alexia Teisseyre,,Ellinor Gustavsson,Felix Millton,
Group Stage,Mixed,Group B (set 3-4),3,Single game,UniLey,Mereri Victoria,UniLey,15,13,,,,,Megan Leybourne,Nelson Dziruni,,Aylin Altenwegner,Jaroslav Čabala,
Group Stage,Mixed,Group B (set 3-4),3,Single game,Uteg/Klement,Code Blue,Uteg/Klement,15,7,,,,,Janne Uteg,Tim Klement,,Jakub Víšek,Tereza Caltová,
Group Stage,Mixed,Group C (set 5-7),3,Single game,Late Night Paella,P🍄WER UP!,Late Night Paella,15,12,,,,,Esaja Ekman,Nicole Fatt,,Britt Vankemenade,joeri vlassaks,
